ts,side,reason,price,qty_btc,fee_usd,note
1757409840,buy,DCA,112974.77,0.00442577,0.5,
1757412442,sell,LLM,112969.09,0.00442577,0.5,High RSI indicates overbought conditions.
1757439437,buy,LLM,110972.03,0.00270338,0.3,RSI indicates oversold conditions and price is near recent lows.
1757444523,buy,LLM,111167.23,0.00269864,0.3,RSI oversold
1757447165,buy,LLM,111293.02,0.00269559,0.3,RSI indicates oversold conditions and price is near a low.
1757449231,buy,LLM,111171.15,0.00269854,0.3,RSI indicates oversold conditions.
1757449253,buy,LLM,111171.15,0.00269854,0.3,RSI indicates oversold conditions.
1757450837,buy,LLM,111165.61,0.00269868,0.3,RSI indicates oversold conditions.
1757502754,sell,LLM,112389.9,0.00269868,0.3,RSI overbought
1757516363,sell,LLM,113875.1,0.00269868,0.31,RSI overbought
1757516398,sell,LLM,113877.0,0.00539801,0.61,RSI overbought (conf=0.68)
1757516456,sell,LLM,113929.8,0.005,0.57,RSI indicates overbought conditions.
